numero_carte_electeur,numero_carte_identite,nom,prenom,date_naissance,lieu_naissance,sexe,adresse_email,numero_telephone,numero_bureau_vote
7695895320,8379092454,Bâ,Babacar,1997-11-26,Blanchetboeuf,Masculin,babacar.bâ@hotmail.com,767559220,438
6750624701,3894726053,Cissé,Fatou,1995-05-06,Sainte Clairedan,Féminin,fatou1.cissé@hotmail.com,783726041,494
8662549638,3047763541,Diop,Ousmane,1935-06-16,Sainte AdèleBourg,Masculin,ousmane.diop@yahoo.fr,789556661,466
5601251104,1458189787,Dieng,Amadou,1972-05-11,Simon,Masculin,amadou.dieng@hotmail.com,783785009,328
2647363019,3824983173,Fall,Moustapha,1967-10-19,Germain,Masculin,moustaphafall@yahoo.fr,761596412,203
1324315772,5907640153,Fall,Khadija,2003-04-25,LeclercqVille,Féminin,khadija2.fall@hotmail.com,772816513,229
5249393417,6134871343,Bâ,Mouhamadou,1966-12-10,Gilles,Masculin,mouhamadou1.bâ@gmail.com,788086457,435
3491802903,7677212200,Cissé,Coumba,2005-03-04,Simon-sur-Boutin,Féminin,coumba.cissé@yahoo.fr,767146580,6
5372989615,3476300526,Dieng,Bineta,1978-04-06,BernierVille,Féminin,bineta.dieng@orange.sn,783391963,141
6766802549,5137840554,Fall,Ousmane,1983-03-07,Sainte PierreBourg,Masculin,ousmane.fall@orange.sn,778900591,313
5487683510,2367514632,Ndiaye,Fatou,1957-11-11,Mendès,Féminin,fatou.ndiaye@gmail.com,788876056,254
2168185825,5138990504,Diouf,Rokhaya,1935-07-29,Richard,Féminin,rokhaya.diouf@yahoo.fr,779462308,125
5534931758,8664122645,Diouf,Mamadou,1982-04-26,Loiseau,Masculin,mamadou.diouf@gmail.com,765964586,326
3253912324,8029553413,Diop,Malick,1992-12-31,Saint Lorraine,Masculin,malick.diop@gmail.com,777975677,127
8102266346,9905489382,Bâ,Marième,1974-04-10,Schneider-sur-Rocher,Féminin,marième.bâ@gmail.com,772611320,437
7527047650,2280529369,Bâ,Bineta,1956-04-11,Gosselin,Féminin,bineta.bâ@gmail.com,765711839,312
5811122534,1941273061,Fall,Babacar,1954-02-22,Mathieu-sur-Maillot,Masculin,babacar.fall@yahoo.fr,766830858,220
3165639138,4004590131,Mbaye,Malick,1968-05-25,Sainte Claireboeuf,Masculin,malick.mbaye@gmail.com,782875995,8
9122270406,1948027542,Diouf,Bineta,1966-03-26,Delaunay,Féminin,bineta.diouf@hotmail.com,782906034,273
8798358358,7319522097,Dieng,Marième,1945-09-27,Galletdan,Féminin,marième.dieng@gmail.com,774199601,261
7717233361,9882209293,Cissé,Mouhamadou,1941-10-19,Nicolas-sur-Mer,Masculin,mouhamadou.cissé@yahoo.fr,788377487,170
8685093413,6478244847,Fall,Pape,1945-02-24,Sainte Robertdan,Masculin,pape.fall@yahoo.fr,767421191,103
7453607285,3445636680,Diop,Babacar,1951-07-24,Sainte Victoire,Masculin,babacar.diop@hotmail.com,781418332,224
7108991295,4542894116,Dieng,Rokhaya,1952-12-16,Saint Zoédan,Féminin,rokhaya.dieng@yahoo.fr,779475966,405
8516826273,3020012533,Faye,Mamadou,1948-01-01,Guichard,Masculin,mamadou.faye@gmail.com,779544234,324
2772055089,7774121039,Faye,Malick,1988-11-01,Paul,Masculin,malick.faye@orange.sn,772749595,168
3035162517,9711272372,Mbaye,Ndeye,1963-11-15,Morin,Féminin,ndeye.mbaye@yahoo.fr,785162364,493
9373453529,5031663258,Ndiaye,Awa,1990-02-22,Salmon,Féminin,awa.ndiaye@hotmail.com,774571505,307
1357394418,6680072071,Fall,Aminata,1938-10-09,Chevalier-les-Bains,Féminin,aminata.fall@gmail.com,762303010,75
2658190660,8189412358,Bâ,Malick,2005-05-28,Gillet,Masculin,malick.bâ@orange.sn,775639911,454
6249643172,9079073263,Sow,Ndeye,1988-09-21,Masson-sur-Dijoux,Féminin,ndeye.sow@orange.sn,789731382,340
4069532834,9624838717,Sow,Aminata,1988-02-25,Joseph-sur-Bourgeois,Féminin,aminata.sow@orange.sn,788685687,2
2488178139,8802395517,Bâ,Aïssatou,1974-10-09,Sainte Benoît,Féminin,aïssatou.bâ@hotmail.com,788772978,476
9096545244,8237052616,Sow,Mouhamadou,1991-11-16,Le Goff,Masculin,mouhamadou.sow@yahoo.fr,764136947,161
3320705497,6575023152,Fall,Moustapha,1944-09-10,Couturier-sur-Hardy,Masculin,moustapha.fall@yahoo.fr,768233666,362
6371270974,3262192360,Faye,Aminata,1999-04-27,Reynaud,Féminin,aminata1.faye@orange.sn,788941723,113
1682684276,5999589949,Ndiaye,Pape,1968-08-24,Millet-sur-Payet,Masculin,pape.ndiaye@gmail.com,774589588,253
1877675154,8967324390,Ndiaye,Aïssatou,1936-04-26,Maurice,Féminin,aïssatou.ndiaye@orange.sn,778868808,51
5278828731,8591750634,Faye,Rokhaya,1937-04-30,Sainte Étienne,Féminin,rokhaya.faye@yahoo.fr,785919318,37
4220738073,1390857902,Fall,Khadija,2002-06-02,Dumas,Féminin,khadija.fall@gmail.com,763897485,245
8221317208,9738903637,Diop,Babacar,1960-08-06,Sainte Pierredan,Masculin,babacar2.diop@orange.sn,761200252,178
9386091967,9109965068,Dieng,Coumba,1971-11-05,Toussaint,Féminin,coumba3.dieng@yahoo.fr,767876986,235
3550129745,9621742837,Mbaye,Bineta,1946-11-16,FoucherVille,Féminin,bineta.mbaye@hotmail.com,788156192,254
8588958354,8500215475,Sow,Awa,1943-11-10,Bailly-la-Forêt,Féminin,awa.sow@gmail.com,783653648,270
9990787394,3971573681,Faye,Babacar,2000-05-26,Dos Santos,Masculin,babacar.faye@hotmail.com,786517905,125
4604236871,4935301829,Bâ,Khadija,1951-08-22,Rocher-sur-Andre,Féminin,khadija.bâ@orange.sn,769347103,54
5369592394,8829978377,Mbaye,Marième,1965-06-08,Lemaître-sur-Martins,Féminin,marième.mbaye@gmail.com,776160984,410
7554963931,3172360059,Diouf,Babacar,1988-04-05,Paris,Masculin,babacar.diouf@hotmail.com,773807276,44
6389838297,3468363105,Cissé,Aminata,1990-07-25,Parent,Féminin,aminata.cissé@yahoo.fr,782190017,475
3928304936,2691592632,Sow,Aïssatou,1979-11-11,Gaydan,Féminin,aïssatou.sow@gmail.com,772528995,14
7748308420,1767294601,Fall,Fatou,2001-12-13,Henry,Féminin,fatou.fall@orange.sn,784254738,355
2424952690,7185713647,Faye,Bineta,1950-02-12,Petitjean,Féminin,bineta.faye@yahoo.fr,778459575,496
4705714011,7297036599,Cissé,Cheikh,1944-01-21,Didier,Masculin,cheikh.cissé@yahoo.fr,777454282,88
1635610634,6621582300,Diop,Moustapha,1961-04-24,Ferrand-les-Bains,Masculin,moustapha.diop@orange.sn,788281910,96
8805620664,4500330586,Cissé,Khadija,1934-04-02,Morin,Féminin,khadija.cissé@orange.sn,783038629,426
8658142728,1086098585,Ndiaye,Moustapha,1979-01-01,Chauvin,Masculin,moustapha.ndiaye@gmail.com,773981862,343
9575872096,9218582605,Bâ,Mouhamadou,1973-11-27,Saint Roger,Masculin,mouhamadou.bâ@gmail.com,777187129,357
7090291492,2563210616,Mbaye,Rokhaya,1980-12-25,Joseph,Féminin,rokhaya.mbaye@orange.sn,778902820,217
3016546649,3511737501,Faye,Aïssatou,1973-06-02,LebonBourg,Féminin,aïssatou.faye@orange.sn,782432198,452
5170470325,5636774250,Diop,Mamadou,1944-01-26,Pons,Masculin,mamadou.diop@hotmail.com,779488464,97
2085181538,8502988200,Diouf,Babacar,1968-03-29,Charpentier-la-Forêt,Masculin,babacar2.diouf@yahoo.fr,774765061,213
6394983976,3493820600,Dieng,Pape,2000-12-05,Sainte Martine-la-Forêt,Masculin,pape3.dieng@hotmail.com,766344939,342
7703217468,4874937789,Bâ,Cheikh,1960-10-02,Joly-sur-Blot,Masculin,cheikh.bâ@yahoo.fr,776169466,350
5527664626,8026576506,Dieng,Moustapha,1934-08-09,Rousseau-sur-Lucas,Masculin,moustapha3.dieng@yahoo.fr,781241648,118
4893171606,1235095863,Fall,Bineta,1995-11-03,Dumas-sur-Barthelemy,Féminin,bineta.fall@yahoo.fr,769457688,68
9244978273,6674376969,Fall,Aminata,1996-01-02,Vidal,Féminin,aminata1.fall@gmail.com,783105838,325
1960341150,5354007064,Faye,Aminata,2001-10-29,Chauveau-sur-Mer,Féminin,aminata2.faye@orange.sn,786726488,323
1776987021,9041910345,Fall,Rokhaya,1986-12-13,Leblancboeuf,Féminin,rokhaya.fall@yahoo.fr,769236115,143
7270585246,3030123150,Fall,Aïssatou,1977-04-17,ThierryVille,Féminin,aïssatou1.fall@yahoo.fr,766407067,204
9942282592,5021446354,Dieng,Pape,1952-08-21,Renard,Masculin,pape.dieng@gmail.com,763345343,392
8969357966,2272733283,Ndiaye,Fatou,1983-10-06,Muller-la-Forêt,Féminin,fatou2.ndiaye@gmail.com,762386186,35
8134694282,6346229477,Dieng,Moustapha,1951-08-14,Saint Pierre-les-Bains,Masculin,moustapha.dieng@gmail.com,789143340,2
6402167430,6976952329,Cissé,Fatou,1985-06-02,Mallet-sur-Da Costa,Féminin,fatou.cissé@gmail.com,781228427,189
6128717782,1769049275,Faye,Pape,1978-06-02,Petitjean-sur-Evrard,Masculin,pape.faye@orange.sn,761118760,403
8141654338,1475514866,Mbaye,Khadija,1995-10-22,Gilbert,Féminin,khadija.mbaye@orange.sn,772468510,144
1177784836,5041494509,Faye,Moustapha,1997-07-16,Gimenez,Masculin,moustapha.faye@orange.sn,778305384,372
1537752909,7169621845,Fall,Pape,1958-06-24,Boulanger,Masculin,pape3.fall@hotmail.com,767947716,132
7670116713,3822890135,Cissé,Moustapha,1937-11-04,RoussetBourg,Masculin,moustapha2.cissé@orange.sn,785912028,70
2080052657,5516314419,Ndiaye,Bineta,1982-12-30,Sainte Denise,Féminin,bineta.ndiaye@gmail.com,765413653,436
1072632319,1912540479,Faye,Fatou,1966-01-17,Gaillard,Féminin,fatou.faye@gmail.com,769424670,396
5986907137,5825255718,Cissé,Awa,1938-08-19,Saint Brigittenec,Féminin,awa.cissé@gmail.com,766423556,237
9452852023,1745562643,Ndiaye,Babacar,1948-10-04,Sainte Bernard-la-Forêt,Masculin,babacar.ndiaye@yahoo.fr,767598319,433
2698893175,6840752531,Diouf,Mouhamadou,1997-06-21,Vallet-sur-Neveu,Masculin,mouhamadou.diouf@gmail.com,788451720,484
2865397055,7181550250,Dieng,Coumba,1978-02-09,Nicolasboeuf,Féminin,coumba.dieng@gmail.com,763208076,34
1230815387,2849583659,Diouf,Malick,1999-10-08,Rémy-sur-Gimenez,Masculin,malick.diouf@yahoo.fr,777385236,196
9047212240,3496913379,Massaly,Idrissa,2002-02-14,guediawaye,Masculin,idrissamassaly@esp.sn,774978073,9
2547212240,7896913379,Diop,Mouhamadou Mansour,2001-02-12,Dakar,Masculin,mouhamadoumansour@esp.sn,784217475,2
6402100030,6976928329,Kamara,Marieme,2004-04-01,Dakar,Féminin,mariemekamara04@gmail.com,776092990,9
7047212240,7822913379,Sougou,Alioune Badara,2002-02-09,Dakar,Masculin,AliouneBadara@esp.sn,769217475,12
